avgAnnCount;avgDeathsPerYear;TARGET_deathRate;incidenceRate;medIncome;popEst2015;povertyPercent;studyPerCap;binnedInc;MedianAge;MedianAgeMale;MedianAgeFemale;Geography;State;Region[CAT];AvgHouseholdSize;PercentMarried;PctNoHS18_24;PctHS18_24;PctSomeCol18_24;PctBachDeg18_24;PctHS25_Over;PctBachDeg25_Over;PctEmployed16_Over;PctUnemployed16_Over;PctPrivateCoverage;PctPrivateCoverageAlone;PctEmpPrivCoverage;PctPublicCoverage;PctPublicCoverageAlone;PctWhite;PctBlack;PctAsian;PctOtherRace;PctMarriedHouseholds;BirthRate;naa;nab
1397,00;469,00;164,90;489,80;61898,00;260131,00;11,20;499,75;(61494.5, 125635];39,30;36,90;41,70;Kitsap County, Washington;Washington;West;2,54;52,50;11,50;39,50;42,10;6,90;23,20;19,60;51,90;8,00;75,10;;41,60;32,90;14,00;81,78;2,59;4,82;1,84;52,86;6,12;Alaska;West
173,00;70,00;161,30;411,60;48127,00;43269,00;18,60;23,11;(48021.6, 51046.4];33,00;32,20;33,70;Kittitas County, Washington;Washington;West;2,34;44,50;6,10;22,40;64,00;7,50;26,00;22,70;55,90;7,80;70,20;53,80;43,60;31,10;15,30;89,23;0,97;2,25;3,74;45,37;4,33;Alabama;South
102,00;50,00;174,70;349,70;49348,00;21026,00;14,60;47,56;(48021.6, 51046.4];45,00;44,00;45,80;Klickitat County, Washington;Washington;West;2,62;54,20;24,00;36,60;;9,50;29,00;16,00;45,90;7,00;63,70;43,50;34,90;42,10;21,10;90,92;0,74;0,47;2,75;54,44;3,73;Arkansas;South
427,00;202,00;194,80;430,40;44243,00;75882,00;17,10;342,64;(42724.4, 45201];42,80;42,20;43,40;Lewis County, Washington;Washington;West;2,52;52,70;20,20;41,20;36,10;2,50;31,60;9,30;48,30;12,10;58,40;40,30;35,00;45,30;25,00;91,74;0,78;1,16;1,36;51,02;4,60;Arizona;West
57,00;26,00;144,40;350,10;49955,00;10321,00;12,50;0,00;(48021.6, 51046.4];48,30;47,80;48,90;Lincoln County, Washington;Washington;West;2,34;57,80;14,90;43,00;40,00;2,00;33,40;15,00;48,20;4,80;61,60;43,90;35,10;44,00;22,70;94,10;0,27;0,67;0,49;54,03;6,80;California;West
428,00;152,00;176,00;505,40;52313,00;61023,00;15,60;180,26;(51046.4, 54545.6];45,40;43,50;48,00;Mason County, Washington;Washington;West;2,58;50,40;29,90;35,10;;4,50;30,40;11,90;44,10;12,90;60,00;38,80;32,60;43,20;20,20;84,88;1,65;1,54;3,31;51,22;4,96;Colorado;West
250,00;97,00;175,90;461,80;37782,00;41516,00;23,20;0,00;(37413.8, 40362.7];42,60;42,20;43,50;Okanogan County, Washington;Washington;West;2,42;54,10;26,10;41,40;;5,80;29,80;11,90;51,80;8,90;49,50;35,00;28,30;46,40;28,70;75,11;0,62;0,87;8,36;51,01;4,20;Connecticut;Northeast
146,00;71,00;183,60;404,00;40189,00;20848,00;17,80;0,00;(37413.8, 40362.7];51,70;50,80;52,50;Pacific County, Washington;Washington;West;2,24;52,70;27,30;33,90;36,50;2,20;31,60;11,30;40,90;8,90;55,80;33,10;25,90;50,90;24,10;89,41;0,31;1,89;2,29;48,97;5,89;District of Columbia;South
88,00;36,00;190,50;459,40;42579,00;13088,00;22,30;0,00;(40362.7, 42724.4];49,30;48,40;49,80;Pend Oreille County, Washington;Washington;West;2,38;55,90;34,70;39,40;;1,40;32,20;12,00;39,50;10,30;55,50;37,80;29,90;48,10;26,60;91,79;0,19;0,21;0,62;53,45;5,59;Delaware;South
4025,00;1380,00;177,80;510,90;60397,00;843954,00;13,10;427,75;(54545.6, 61494.5];35,80;34,70;37,00;Pierce County, Washington;Washington;West;2,65;50,00;15,60;36,30;;7,10;28,80;16,20;56,60;9,20;69,90;;44,40;31,40;16,50;74,73;6,71;6,04;2,70;50,06;5,53;Florida;South
