"avgAnnCount"	"avgDeathsPerYear"	"TARGET_deathRate"	"incidenceRate"	"medIncome"	"popEst2015"	"povertyPercent"	"studyPerCap"	"binnedInc"	"MedianAge"	"MedianAgeMale"	"MedianAgeFemale"	"Geography"	"State"	"Region.CAT."	"AvgHouseholdSize"	"PercentMarried"	"PctNoHS18_24"	"PctHS18_24"	"PctSomeCol18_24"	"PctBachDeg18_24"	"PctHS25_Over"	"PctBachDeg25_Over"	"PctEmployed16_Over"	"PctUnemployed16_Over"	"PctPrivateCoverage"	"PctPrivateCoverageAlone"	"PctEmpPrivCoverage"	"PctPublicCoverage"	"PctPublicCoverageAlone"	"PctWhite"	"PctBlack"	"PctAsian"	"PctOtherRace"	"PctMarriedHouseholds"	"BirthRate"	"NOTINUSE1"	"NOTINUSE2"
427	202	194.8	430.4	44243	75882	17.1	342.6372526	"(42724.4, 45201]"	42.8	42.2	43.4	"Lewis County, Washington"	"Washington"	"West"	2.52	52.7	20.2	41.2	36.1	2.5	31.6	9.3	48.3	12.1	58.4	40.3	35	45.3	25	91.74468649	0.782625968	1.16135867	1.362643183	51.02151448	4.603840773	"Arizona"	"West"
1390	483	169.9	495.9	61653	269536	11.9	207.7644545	"(61494.5, 125635]"	38.5	37.1	39.9	"Thurston County, Washington"	"Washington"	"West"	2.52	52.4	14.8	31.7	46.2	7.4	22.7	20.3	56.5	8.5	74.5	55.4	43.5	30.7	13.7	82.58622199	2.839873174	5.83580425	1.226386727	50.87449211	5.180155167	"Kansas"	"Midwest"
280	137	217	457	36739	44997	21.4	0	"(34218.1, 37413.8]"	43.2	42	45.1	"Fayette County, West Virginia"	"West Virginia"	"South"	2.47	50.9	17.3	49.3	NA	4.4	44.4	8.4	42.6	9.2	53.4	36.1	34	47.8	27.8	93.37637809	5.160978609	0.103219572	0.230596917	49.88397759	6.526136485	"New Jersey"	"Northeast"
68	29	153	374.9	41010	13852	15.3	0	"(40362.7, 42724.4]"	44.5	44.2	45	"Hardy County, West Virginia"	"West Virginia"	"South"	2.69	50.1	24.9	54.2	NA	3.9	47.7	9.3	53.7	7.9	65.8	NA	46.9	38.2	19.1	94.69001148	4.355625718	0.46641791	0.215269805	51.41582622	2.955003358	"Oregon"	"West"
182	78	194.2	475.8	41121	29237	16.7	0	"(40362.7, 42724.4]"	42.6	41.2	44.1	"Jackson County, West Virginia"	"West Virginia"	"South"	2.62	54.5	13.7	41.2	35.9	9.2	41.1	11.7	46.8	6.8	66.9	48.8	45.6	40.6	21.3	97.40224228	0.66311184	0.201668034	0.061525841	55.45062062	4.735242361	"Rhode Island"	"Northeast"
373	144	188.8	510.9	43729	56925	17.9	0	"(42724.4, 45201]"	41.1	39.7	42.7	"Marion County, West Virginia"	"West Virginia"	"South"	2.47	51	11.2	34.4	NA	5.4	40.9	14.5	NA	4.9	67.6	NA	48.5	35.7	18.3	93.95492164	3.62211657	0.515935904	0	49.46399182	5.113459745	"Vermont"	"Northeast"
168	78	209.5	463.4	35799	27037	20.6	1146.576913	"(34218.1, 37413.8]"	43	42.3	44.1	"Mason County, West Virginia"	"West Virginia"	"South"	2.44	51.6	23.1	42.5	NA	3.3	47.5	7.8	41.2	10.3	59.6	41.6	39	47.6	26.6	97.86584244	0.724877654	0.058873312	0.099348714	50.71046319	3.66910141	"Wisconsin"	"Midwest"
45	19	139.8	381.8	38204	7229	16.7	0	"(37413.8, 40362.7]"	49.1	47.4	50.3	"Pendleton County, West Virginia"	"West Virginia"	"South"	2.35	55.3	25.9	41.3	NA	3.6	46	7.3	45.4	4.9	59.8	41	31	45.3	24.1	95.9605512	2.728992164	0.040529587	0.108078898	54.86268174	7.611940299	""	""
45	21	213.3	458.9	44801	7674	16.5	0	"(42724.4, 45201]"	43.6	42	45.6	"Pleasants County, West Virginia"	"West Virginia"	"South"	2.43	55	9	47.1	NA	4.3	50.1	7.3	45.6	8.2	71.6	53.8	51.8	36.8	17.7	97.14510215	0.275013096	0	0	56.79225717	2.966381015	""	""
161	68	168.6	405.2	37468	29126	20.8	0	"(37413.8, 40362.7]"	43.2	41.7	45.1	"Randolph County, West Virginia"	"West Virginia"	"South"	2.35	52.2	24.3	35.7	NA	7.6	46.3	10.6	48.7	6.7	59.6	43.1	40.5	43.3	23.4	96.90447812	1.924059254	0.17708156	0.08854078	51.97613076	4.231027535	""	""
89	41	204	449.2	33041	14435	23.1	0	"[22640, 34218.1]"	44.2	43.2	45	"Roane County, West Virginia"	"West Virginia"	"South"	2.48	53.9	26	45.8	NA	10	46.5	8.2	41.3	8.9	51.6	36	32.9	51.8	32.6	97.9365947	0.020497404	0.12981689	0.204974037	52.19686649	2.353331124	""	""
56	19	168.1	528.4	36466	6966	17.1	0	"(34218.1, 37413.8]"	47.7	47	48.4	"Tucker County, West Virginia"	"West Virginia"	"South"	2.26	60.5	7	50.6	NA	0	52.7	7.1	51.7	7.6	68	NA	46.1	39.3	17.9	98.16408491	0.229489386	0.602409639	0	56.87707641	3.868613139	""	""
65	33	259.5	511.9	29331	8755	26.1	114.2204455	"[22640, 34218.1]"	46.3	45.5	46.6	"Webster County, West Virginia"	"West Virginia"	"South"	2.28	54.1	10.4	54.6	32.3	2.8	43	5.3	40.2	14.8	45.1	31.2	28.2	53.3	35.4	97.98364512	0.123221687	0.369665061	0	48.72652431	4.203539823	""	""
134	69	235.4	447.8	34419	22151	22.8	0	"(34218.1, 37413.8]"	42.8	41.5	44.2	"Wyoming County, West Virginia"	"West Virginia"	"South"	2.48	55.7	23.3	33.7	NA	3.6	46	4.5	34.6	10.1	54.6	38.3	36.7	49.9	28.7	97.72588122	0.782821657	0	0.126825855	54.03848244	6.018614271	""	""
356	123	160.1	482.4	52485	63531	10.7	487.9507642	"(51046.4, 54545.6]"	40.6	39.1	42	"Chippewa County, Wisconsin"	"Wisconsin"	"Midwest"	2.44	55.6	14.2	36.1	42.6	7	38.5	13.5	61.8	5.1	73.4	56.9	50.8	33.9	15.7	95.12569413	1.358983689	1.202360423	0.229397712	55.24062236	5.497771174	""	""
184	70	157.6	455.2	45316	34445	16	0	"(45201, 48021.6]"	37.1	36.4	38.4	"Clark County, Wisconsin"	"Wisconsin"	"Midwest"	2.65	58.2	37.3	35.4	NA	2.7	43.3	8.4	61.2	4.8	56.6	41.9	34.1	34	17.6	97.12034301	0.402688452	0.446144041	0.625760473	57.41970774	9.86429301	""	""
2015	707	153.8	430.7	61937	523643	13.4	129.8594653	"(61494.5, 125635]"	34.6	33.7	35.6	"Dane County, Wisconsin"	"Wisconsin"	"Midwest"	2.35	47.5	6.3	21.9	NA	21.4	19	28.3	69.5	4.9	82.5	NA	62.8	22.6	10.2	84.4213423	5.199353976	5.404960427	1.885542476	45.26843317	4.458527742	""	""
1962.667684	62	211	453.5494221	46840	24200	13.2	0	"(45201, 48021.6]"	38.9	37.1	40.8	"Churchill County, Nevada"	"Nevada"	"West"	2.51	51.6	19.8	39.3	NA	1.4	35	10.9	48.4	11.9	63	NA	34.9	37	17.3	81.84067293	2.370938479	2.667821211	3.645060201	49.69920844	7.724034496	""	""
