"avgAnnCount"	"avgDeathsPerYear"	"TARGET_deathRate"	"incidenceRate"	"medIncome"	"popEst2015"	"povertyPercent"	"studyPerCap"	"binnedInc"	"MedianAge"	"MedianAgeMale"	"MedianAgeFemale"	"Geography"	"AvgHouseholdSize"	"PercentMarried"	"PctNoHS18_24"	"PctHS18_24"	"PctSomeCol18_24"	"PctBachDeg18_24"	"PctHS25_Over"	"PctBachDeg25_Over"	"PctEmployed16_Over"	"PctUnemployed16_Over"	"PctPrivateCoverage"	"PctPrivateCoverageAlone"	"PctEmpPrivCoverage"	"PctPublicCoverage"	"PctPublicCoverageAlone"	"PctWhite"	"PctBlack"	"PctAsian"	"PctOtherRace"	"PctMarriedHouseholds"	"BirthRate"
97	41	176.1	459.7	55968	13984	10.3	0	"(54545.6, 61494.5]"	44	40.5	47	"O'Brien County, Iowa"	2.28	61.6	20.7	21.4	NA	2.4	37.7	13.7	64.6	2.8	73.8	56.3	46.2	35.1	16.4	94.79846722	0.510928186	0.844450752	2.39142776	57.01199201	7.056603774
274	112	183.7	463.3	49616	43386	12.9	0	"(48021.6, 51046.4]"	45.8	44.3	47.2	"Windham County, Vermont"	2.21	50.7	11.9	30.9	NA	8.3	30.7	20.2	60.9	6.8	63.7	47.1	39.1	45.7	26.7	94.90628848	0.930274978	1.051119522	0.262209859	47.13228735	3.546703589
2919	1252	186.9	451.9	42994	532258	19.7	760.9091831	"(42724.4, 45201]"	39.4	37.5	41.2	"Montgomery County, Ohio"	2.32	44	15.7	26.7	NA	7.9	28.8	15.3	NA	9.4	64.7	NA	44.3	37.8	22.4	73.67239767	20.6509256	1.973535071	0.686821679	40.44286375	5.362001513
166	64	154.8	417.1	47441	29460	12.4	0	"(45201, 48021.6]"	44.5	42.8	45.6	"Garrett County, Maryland"	2.47	56.5	15.8	31.8	NA	7.8	42.2	10.2	56.1	7	62.5	46.7	41	41.4	23.2	97.29312716	0.603763459	0.412571697	0.09391876	57.15249094	6.553245117
36	15	168.3	447.2	52601	5797	10.7	0	"(51046.4, 54545.6]"	41.9	41.1	42.5	"Dixon County, Nebraska"	2.51	58.1	14.3	36.8	NA	2.7	38.6	12.6	64.2	4.5	72.8	54.8	46.7	30.3	13.7	95.56767815	0.39209001	0.051142175	2.523013979	55.57483731	7.055749129
108	51	208.1	451.1	44623	19347	15.5	206.7504006	"(42724.4, 45201]"	41.4	38.8	43.8	"Perry County, Indiana"	2.42	53.9	28.3	38.9	27.6	5.2	51.2	6	53.2	5.6	72.7	55.9	51.4	32.2	15.5	94.83362522	3.049345833	0.262697023	0.257546101	56.28948091	5.856832972
87	34	159.3	453.2	50108	12773	12	0	"(48021.6, 51046.4]"	44.6	43.4	45.9	"Wright County, Iowa"	2.31	57	18.2	35.9	NA	9.9	37.5	12.1	58.8	5.7	71.9	51.4	43.7	38.3	17.3	94.6737786	0.378787879	0.502473717	2.837043908	51.02820746	6.48694187
940	347	190.7	527.2	54271	173533	14.1	11.52518541	"(51046.4, 54545.6]"	37	35.1	38.4	"Kent County, Delaware"	2.71	48.8	15.5	25.9	51	7.6	33.5	14.1	56.5	8.4	69.2	49.6	42.1	38.7	20.5	67.20882077	24.31198343	2.091334383	1.491956179	50.31450694	6.068779501
554	217	185.5	488.8	41932	86452	17.2	173.5066858	"(40362.7, 42724.4]"	42.5	41.1	44	"Wood County, West Virginia"	2.37	51.1	15.8	36.5	NA	4.2	38.1	12.2	52.4	8.6	63	NA	42.2	42	22.7	96.18988205	1.059393015	0.607678	0.251851338	47.88351017	6.23870268
86	35	192.6	505.2	40312	14241	18	0	"(37413.8, 40362.7]"	40.6	39.5	42.7	"Larue County, Kentucky"	2.6	49.4	9.6	47.8	38.7	4	43.1	6.7	50.8	9.3	57.7	41.9	35.9	46.8	26.7	92.44469574	3.498480458	0.325111315	1.809315146	51.95195195	5.039267016
